id,anio,mun,estratos,sexo,edad,total,total_low,total_upp,dim,nomgeo
0,2015.0,2.0,Pobreza muy alta,Hombre,0-11,6807.0,470205937424000.0,891194062576000.0,Vivienda,Azcapotzalco
1,2015.0,2.0,Pobreza muy alta,Hombre,30-44,5675.0,417542392758000.0,717457607242000.0,Vivienda,Azcapotzalco
2,2015.0,2.0,Pobreza muy alta,Hombre,45-59,3813.0,264617507654000.0,497982492346000.0,Vivienda,Azcapotzalco
3,2015.0,2.0,Pobreza muy alta,Mujer,30-44,7053.0,539025178752000.0,871574821248000.0,Vivienda,Azcapotzalco
4,2015.0,2.0,Pobreza alta,Hombre,No especificado,15.0,-212564290443000.0,512564290443000.0,Vivienda,Azcapotzalco
5,2015.0,2.0,Pobreza alta,Mujer,60 y mas,2091.0,129652003819000.0,288547996181000.0,Vivienda,Azcapotzalco
6,2015.0,2.0,Pobreza moderada,Hombre,60 y mas,5344.0,412772688447000.0,656027311553000.0,Vivienda,Azcapotzalco
7,2015.0,2.0,Pobreza moderada,Mujer,30-44,10169.0,824401136411000.0,120939886359000.0,Vivienda,Azcapotzalco
8,2015.0,2.0,Pobreza moderada,Mujer,60 y mas,7518.0,529815391432000.0,973784608568000.0,Vivienda,Azcapotzalco
9,2015.0,2.0,Pobreza moderada,Mujer,No especificado,9.0,-137456969874000.0,317456969874000.0,Vivienda,Azcapotzalco
10,2015.0,2.0,Satisfaccion mínima,Hombre,45-59,5652.0,427387851498000.0,703012148502000.0,Vivienda,Azcapotzalco
11,2015.0,2.0,Satisfaccion mínima,Mujer,0-11,4636.0,337850879802000.0,589349120198000.0,Vivienda,Azcapotzalco
12,2015.0,2.0,Satisfaccion mínima,Mujer,12-29,8481.0,662265372435000.0,103393462757000.0,Vivienda,Azcapotzalco
13,2015.0,2.0,Satisfaccion mínima,Mujer,No especificado,30.0,-37287404454800.0,97287404454800.0,Vivienda,Azcapotzalco
14,2015.0,2.0,Estrato medio,Hombre,0-11,6164.0,474408601861000.0,758391398139000.0,Vivienda,Azcapotzalco
15,2015.0,2.0,Estrato medio,Hombre,45-59,11491.0,978674457815000.0,131952554218000.0,Vivienda,Azcapotzalco
16,2015.0,2.0,Estrato medio,Mujer,0-11,5809.0,451373921149000.0,710426078851000.0,Vivienda,Azcapotzalco
17,2015.0,2.0,Estrato medio,Mujer,No especificado,47.0,-292036102430000.0,123203610243000.0,Vivienda,Azcapotzalco
18,2015.0,2.0,Estrato alto,Hombre,12-29,3395.0,227853079418000.0,451146920582000.0,Vivienda,Azcapotzalco
19,2015.0,2.0,Estrato alto,Hombre,60 y mas,5786.0,425012356814000.0,732187643186000.0,Vivienda,Azcapotzalco
20,2015.0,2.0,Estrato alto,Mujer,0-11,759.0,530601013268000.0,987398986732000.0,Vivienda,Azcapotzalco
21,2015.0,2.0,Estrato alto,Mujer,12-29,4067.0,271536832503000.0,541863167497000.0,Vivienda,Azcapotzalco
22,2015.0,2.0,Estrato alto,Mujer,45-59,6129.0,452233164958000.0,773566835042000.0,Vivienda,Azcapotzalco
23,2015.0,2.0,Estrato alto,Mujer,60 y mas,10409.0,827294271022000.0,125450572898000.0,Vivienda,Azcapotzalco
24,2015.0,3.0,Pobreza muy alta,Hombre,0-11,9039.0,699093831321000.0,110870616868000.0,Vivienda,Coyoacán
25,2015.0,3.0,Pobreza muy alta,Hombre,45-59,5081.0,382611389791000.0,633588610209000.0,Vivienda,Coyoacán
26,2015.0,3.0,Pobreza muy alta,Mujer,45-59,5300.0,390942626999000.0,669057373001000.0,Vivienda,Coyoacán
27,2015.0,3.0,Pobreza muy alta,Mujer,No especificado,118.0,-41982483548400.0,277982483548000.0,Vivienda,Coyoacán
28,2015.0,3.0,Pobreza alta,Hombre,45-59,3514.0,260122868727000.0,442677131273000.0,Vivienda,Coyoacán
29,2015.0,3.0,Pobreza alta,Mujer,0-11,4399.0,32438621803000.0,55541378197000.0,Vivienda,Coyoacán
